17 07 2017
Location%W%L%T%OTW%SOW%OTL%SOL%GF%GA%
Overall%13%10%1%0%0%2%0%130%144%
Home%8%4%0%0%0%0%0%59%56%
Away%5%6%1%0%0%2%0%71%88%
